dataset,aggregation,MRR,h@1,h@10,time
YAGO3-10,synergy_filtered,0.575473,0.503100,0.705800,3485.476901
YAGO3-10,ensemble_best_valid_stage2,0.576226,0.503901,0.706641,7147.885055
codex-l,eval-maxplus,0.311458,0.253609,0.425185,
codex-l,eval-noisyor,0.302914,0.241771,0.423993,
codex-l,init_dep_with_lift_filtered,0.332621,0.272093,0.447110,5165.039178
codex-l,pos_auto_ratio_filtered,0.330024,0.268975,0.446391,5204.320787
codex-l,redundancy_filtered,0.332636,0.273155,0.445656,5083.421528
codex-l,sign_constraint_dependency_filtered,0.332814,0.273334,0.446081,5301.499017
codex-l,structural_r2d3_filtered,0.331684,0.271702,0.446310,5454.590078
codex-l,structural_r2d3_filtered__stage1,0.329436,0.269579,0.443860,5454.590078
codex-l,structural_r3d6_filtered,0.331726,0.272028,0.445885,5388.578173
codex-l,structural_r3d6_filtered__stage1,0.329622,0.269791,0.443909,5388.578173
codex-l,structural_rd_filtered,0.333535,0.273726,0.447632,5381.380346
codex-l,structural_rd_filtered__stage1,0.330436,0.270885,0.444268,5381.380346
codex-l,synergy_filtered,0.333339,0.273628,0.447306,5292.245408
codex-l,ensemble_best_valid_stage2,0.333605,0.273885,0.447094,11160.585276
codex-m,eval-maxplus,0.319487,0.248909,0.455145,
codex-m,eval-noisyor,0.300655,0.226457,0.447532,
codex-m,init_dep_with_lift_filtered,0.338399,0.268354,0.473620,2328.632536
codex-m,pos_auto_ratio_filtered,0.340062,0.268015,0.479682,2291.217915
codex-m,redundancy_filtered,0.342124,0.273203,0.477403,2261.818197
codex-m,sign_constraint_dependency_filtered,0.341891,0.274028,0.475948,2351.321781
codex-m,structural_r2d3_filtered,0.342941,0.274513,0.478179,2362.441602
codex-m,structural_r2d3_filtered__stage1,0.342441,0.274416,0.476627,2362.441602
codex-m,structural_r3d6_filtered,0.343299,0.274901,0.478276,2323.243848
codex-m,structural_r3d6_filtered__stage1,0.342662,0.274513,0.477354,2323.243848
codex-m,structural_rd_filtered,0.342474,0.273058,0.479100,2292.779935
codex-m,structural_rd_filtered__stage1,0.340835,0.272234,0.475027,2292.779935
codex-m,synergy_filtered,0.341465,0.272185,0.478373,2273.788039
codex-m,ensemble_best_valid_stage2,0.344223,0.275929,0.479860,4744.520493
hetionet,eval-maxplus,,,,
hetionet,eval-noisyor,,,,
hetionet,init_dep_with_lift_filtered,0.357075,0.294074,0.479204,6929.187433
hetionet,pos_auto_ratio_filtered,0.365239,0.302789,0.487279,6649.732398
hetionet,redundancy_filtered,0.362197,0.299991,0.483768,5028.357077
hetionet,sign_constraint_dependency_filtered,0.362044,0.300184,0.483046,6864.781770
hetionet,structural_r2d3_filtered,0.369847,0.307010,0.494263,10140.048418
hetionet,structural_r2d3_filtered__stage1,0.369368,0.306573,0.494036,10140.048418
hetionet,structural_r3d6_filtered,0.368801,0.305848,0.493816,9634.034912
hetionet,structural_r3d6_filtered__stage1,0.368395,0.305457,0.493583,9634.034912
hetionet,structural_rd_filtered,0.362111,0.299507,0.484168,6535.411396
hetionet,structural_rd_filtered__stage1,0.361201,0.298820,0.483317,6535.411396
hetionet,synergy_filtered,0.362595,0.299933,0.484935,6191.959635
hetionet,synergy_filteredbest_stage1_hetionet,0.362595,0.299933,0.484935,7717.442466
hetionet,ensemble_best_valid_stage2,0.373700,0.311412,0.497014,10745.635176
wikidata5m,eval-maxplus,0.354055,0.313287,0.431780,
wikidata5m,eval-noisyor,0.353522,0.311126,0.433283,
